cells,celltype
SM.GE67A_S097_E1.50,MP
SM.GE67A_S098_E1.50,MP
SM.GE67A_S099_E1.50,GABA2
SM.GE67A_S100_E1.50,MP
SM.GE67A_S101_E1.50,K
SM.GE67A_S102_E1.50,MP
SM.GE67A_S103_E1.50,MP
SM.GE67A_S104_E1.50,MP
SM.GE67A_S113_E1.50,MP
SM.GE67A_S114_E1.50,MP
SM.GE67A_S115_E1.50,MP
SM.GE67A_S116_E1.50,MP
SM.GE67A_S117_E1.50,MP
SM.GE67A_S118_E1.50,K
SM.GE67A_S119_E1.50,MP
SM.GE67A_S120_E1.50,MP
SM.GE67B_S001_E1.50,MP
SM.GE67B_S002_E1.50,K
SM.GE67B_S003_E1.50,MP
SM.GE67B_S004_E1.50,GABA2
SM.GE67B_S005_E1.50,MP
SM.GE67B_S006_E1.50,MP
SM.GE67B_S007_E1.50,K
SM.GE67B_S009_E1.50,MP
SM.GE67B_S011_E1.50,GABA2
SM.GE67B_S012_E1.50,MP
SM.GE67B_S013_E1.50,GABA2
SM.GE67B_S014_E1.50,MP
SM.GE67B_S015_E1.50,MP
SM.GE67B_S016_E1.50,MP
SM.GE67B_S097_E1.50,MP
SM.GE67B_S098_E1.50,MP
SM.GE67B_S100_E1.50,MP
SM.GE67B_S101_E1.50,MP
SM.GE67B_S103_E1.50,MP
SM.GE67B_S104_E1.50,MP
SM.GE67D_S001_E1.50,MP
SM.GE67D_S002_E1.50,MP
SM.GE67D_S003_E1.50,MP
SM.GE67D_S004_E1.50,MP
SM.GE67D_S005_E1.50,MP
SM.GE67D_S006_E1.50,MP
SM.GE67D_S007_E1.50,MP
SM.GE67D_S009_E1.50,MP
SM.GE67D_S010_E1.50,GABA2
SM.GE67D_S011_E1.50,MP
SM.GE67D_S012_E1.50,MP
SM.GE67D_S013_E1.50,MP
SM.GE67D_S014_E1.50,MP
SM.GE67D_S015_E1.50,MP
SM.GE67D_S016_E1.50,MP
SM.GE67D_S017_E1.50,GABA2
SM.GE67D_S018_E1.50,MP
SM.GE67D_S019_E1.50,K
SM.GE67D_S020_E1.50,K
SM.GE67D_S022_E1.50,MP
SM.GE67D_S023_E1.50,MP
SM.GE67D_S024_E1.50,MP
SM.GE67D_S025_E1.50,MP
SM.GE67D_S026_E1.50,K
SM.GE67D_S029_E1.50,MP
SM.GE67D_S030_E1.50,MP
SM.GE67D_S031_E1.50,MP
SM.GE67D_S032_E1.50,MP
SM.GE67D_S033_E1.50,MP
SM.GE67D_S034_E1.50,MP
SM.GE67D_S035_E1.50,MP
SM.GE67D_S036_E1.50,MP
SM.GE67D_S037_E1.50,MP
SM.GE67D_S039_E1.50,MP
SM.GE67D_S040_E1.50,MP
SM.GE67D_S041_E1.50,MP
SM.GE67D_S043_E1.50,MP
SM.GE67D_S044_E1.50,MP
SM.GE67D_S046_E1.50,K
SM.GE67D_S047_E1.50,MP
SM.GE67D_S048_E1.50,MP
SM.GE67F_S025_E1.50,MP
SM.GE67F_S026_E1.50,MP
SM.GE67F_S027_E1.50,MP
SM.GE67F_S028_E1.50,GABA2
SM.GE67F_S029_E1.50,K
SM.GE67F_S030_E1.50,MP
SM.GE67F_S031_E1.50,MP
SM.GE67F_S041_E1.50,MP
SM.GE67F_S042_E1.50,K
SM.GE67F_S043_E1.50,MP
SM.GE67F_S044_E1.50,MP
SM.GE67F_S045_E1.50,MP
SM.GE67F_S046_E1.50,K
SM.GE67F_S047_E1.50,K
SM.GE67F_S048_E1.50,MP
SM.GE67F_S049_E1.50,K
SM.GE67F_S050_E1.50,GABA2
SM.GE67F_S051_E1.50,GABA2
SM.GE67F_S052_E1.50,MP
SM.GE67F_S054_E1.50,MP
SM.GE67F_S055_E1.50,GABA2
SM.GE67F_S056_E1.50,MP
SM.GE67F_S057_E1.50,K
SM.GE67F_S058_E1.50,MP
SM.GE67F_S059_E1.50,MP
SM.GE67F_S060_E1.50,MP
SM.GE67F_S061_E1.50,MP
SM.GE67F_S062_E1.50,K
SM.GE67F_S063_E1.50,K
SM.GE67F_S064_E1.50,MP
SM.GE67F_S065_E1.50,K
SM.GE67F_S066_E1.50,MP
SM.GE67F_S067_E1.50,MP
SM.GE67F_S068_E1.50,K
SM.GE67F_S069_E1.50,GABA2
SM.GE67F_S070_E1.50,MP
SM.GE67F_S072_E1.50,MP
SM.GE67F_S073_E1.50,MP
SM.GE67F_S074_E1.50,MP
SM.GE67F_S075_E1.50,MP
SM.GE67F_S077_E1.50,MP
SM.GE67F_S078_E1.50,MP
SM.GE67F_S079_E1.50,MP
SM.GE67F_S080_E1.50,MP
SM.GE67F_S081_E1.50,MP
SM.GE67F_S082_E1.50,MP
SM.GE67F_S083_E1.50,MP
SM.GE67F_S084_E1.50,MP
SM.GE67F_S085_E1.50,MP
SM.GE67F_S086_E1.50,MP
SM.GE67F_S087_E1.50,MP
SM.GE67F_S088_E1.50,MP
SM.GE67F_S089_E1.50,MP
SM.GE67F_S091_E1.50,GABA2
SM.GE67F_S093_E1.50,MP
SM.GE67F_S094_E1.50,MP
SM.GE67F_S095_E1.50,K
SM.GE67F_S096_E1.50,MP
SM.GE67F_S121_E1.50,K
SM.GE67F_S122_E1.50,K
SM.GE67F_S123_E1.50,MP
SM.GE67F_S124_E1.50,GABA2
SM.GE67F_S125_E1.50,K
SM.GE67F_S126_E1.50,MP
SM.GE67F_S127_E1.50,K
SM.GE67F_S128_E1.50,MP
SM.GE67F_S129_E1.50,MP
SM.GE67F_S130_E1.50,K
SM.GE67F_S131_E1.50,K
SM.GE67F_S133_E1.50,MP
SM.GE67F_S134_E1.50,K
SM.GE67F_S135_E1.50,K
SM.GE67F_S136_E1.50,MP
SM.GE67F_S145_E1.50,MP
SM.GE67F_S146_E1.50,MP
SM.GE67F_S147_E1.50,MP
SM.GE67F_S148_E1.50,K
SM.GE67F_S149_E1.50,MP
SM.GE67F_S150_E1.50,K
SM.GE67F_S151_E1.50,MP
SM.GE67F_S152_E1.50,MP
SM.GE67F_S153_E1.50,MP
SM.GE67F_S154_E1.50,GABA2
SM.GE67F_S155_E1.50,MP
SM.GE67F_S156_E1.50,MP
SM.GE67F_S157_E1.50,K
SM.GE67F_S158_E1.50,MP
SM.GE67F_S159_E1.50,MP
SM.GE67F_S160_E1.50,MP
SM.GE67F_S161_E1.50,MP
SM.GE67F_S162_E1.50,MP
SM.GE67F_S163_E1.50,MP
SM.GE67F_S164_E1.50,MP
SM.GE67F_S165_E1.50,MP
SM.GE67F_S166_E1.50,GABA2
SM.GE67F_S167_E1.50,MP
SM.GE67F_S168_E1.50,MP
SM.GE67F_S169_E1.50,MP
SM.GE67F_S170_E1.50,MP
SM.GE67F_S171_E1.50,MP
SM.GE67F_S172_E1.50,MP
SM.GE67F_S173_E1.50,GABA2
SM.GE67F_S174_E1.50,MP
SM.GE67F_S175_E1.50,MP
SM.GE67F_S176_E1.50,MP
SM.GE67F_S177_E1.50,MP
SM.GE67F_S179_E1.50,GABA2
SM.GE67F_S180_E1.50,MP
SM.GE67F_S181_E1.50,MP
SM.GE67F_S182_E1.50,MP
SM.GE67F_S184_E1.50,GABA2
SM.GE67F_S185_E1.50,MP
SM.GE67F_S186_E1.50,GABA2
SM.GE67F_S188_E1.50,MP
SM.GE67F_S189_E1.50,MP
SM.GE67F_S191_E1.50,MP
SM.GE67G_S025_E1.50,K
SM.GE67G_S027_E1.50,K
SM.GE67G_S028_E1.50,MP
SM.GE67G_S029_E1.50,K
SM.GE67G_S031_E1.50,MP
SM.GE67G_S032_E1.50,MP
SM.GE67G_S033_E1.50,K
SM.GE67G_S034_E1.50,MP
SM.GE67G_S035_E1.50,MP
SM.GE67G_S036_E1.50,MP
SM.GE67G_S037_E1.50,MP
SM.GE67G_S038_E1.50,MP
SM.GE67G_S040_E1.50,MP
SM.GE67G_S042_E1.50,MP
SM.GE67G_S043_E1.50,MP
SM.GE67G_S044_E1.50,MP
SM.GE67G_S045_E1.50,K
SM.GE67G_S046_E1.50,K
SM.GE67G_S047_E1.50,GABA2
SM.GE67G_S048_E1.50,GABA2
SM.GE67G_S057_E1.50,MP
SM.GE67G_S058_E1.50,MP
SM.GE67G_S059_E1.50,MP
SM.GE67G_S060_E1.50,K
SM.GE67G_S061_E1.50,MP
SM.GE67G_S062_E1.50,MP
SM.GE67G_S063_E1.50,GABA2
SM.GE67G_S064_E1.50,MP
SM.GE67G_S065_E1.50,GABA2
SM.GE67G_S066_E1.50,GABA2
