cell,batch,label
CD141_P10_S73,Batch1,CD141
CD141_P10_S74,Batch1,CD141
CD141_P10_S75,Batch1,CD141
CD141_P10_S76,Batch1,CD141
CD141_P10_S77,Batch1,CD141
CD141_P10_S78,Batch1,CD141
CD141_P10_S79,Batch1,CD141
CD141_P10_S80,Batch1,CD141
CD141_P10_S81,Batch1,CD141
CD141_P10_S82,Batch1,CD141
CD141_P10_S83,Batch1,CD141
CD141_P10_S84,Batch1,CD141
CD141_P10_S85,Batch1,CD141
CD141_P10_S86,Batch1,CD141
CD141_P10_S87,Batch1,CD141
CD141_P10_S88,Batch1,CD141
CD141_P10_S89,Batch1,CD141
CD141_P10_S90,Batch1,CD141
CD141_P10_S91,Batch1,CD141
CD141_P10_S92,Batch1,CD141
CD141_P10_S93,Batch1,CD141
CD141_P10_S94,Batch1,CD141
CD141_P10_S95,Batch1,CD141
CD141_P10_S96,Batch1,CD141
CD141_P7_S10,Batch1,CD141
CD141_P7_S11,Batch1,CD141
CD141_P7_S12,Batch1,CD141
CD141_P7_S13,Batch1,CD141
CD141_P7_S14,Batch1,CD141
CD141_P7_S15,Batch1,CD141
CD141_P7_S16,Batch1,CD141
CD141_P7_S17,Batch1,CD141
CD141_P7_S18,Batch1,CD141
CD141_P7_S19,Batch1,CD141
CD141_P7_S1,Batch1,CD141
CD141_P7_S20,Batch1,CD141
CD141_P7_S21,Batch1,CD141
CD141_P7_S22,Batch1,CD141
CD141_P7_S23,Batch1,CD141
CD141_P7_S24,Batch1,CD141
CD141_P7_S2,Batch1,CD141
CD141_P7_S3,Batch1,CD141
CD141_P7_S4,Batch1,CD141
CD141_P7_S5,Batch1,CD141
CD141_P7_S6,Batch1,CD141
CD141_P7_S7,Batch1,CD141
CD141_P7_S8,Batch1,CD141
CD141_P7_S9,Batch1,CD141
CD141_P8_S25,Batch1,CD141
CD141_P8_S26,Batch1,CD141
CD141_P8_S27,Batch1,CD141
CD141_P8_S28,Batch1,CD141
CD141_P8_S29,Batch1,CD141
CD141_P8_S30,Batch1,CD141
CD141_P8_S31,Batch1,CD141
CD141_P8_S32,Batch1,CD141
CD141_P8_S33,Batch1,CD141
CD141_P8_S34,Batch1,CD141
CD141_P8_S35,Batch1,CD141
CD141_P8_S36,Batch1,CD141
CD141_P8_S37,Batch1,CD141
CD141_P8_S38,Batch1,CD141
CD141_P8_S39,Batch1,CD141
CD141_P8_S40,Batch1,CD141
CD141_P8_S41,Batch1,CD141
CD141_P8_S42,Batch1,CD141
CD141_P8_S43,Batch1,CD141
CD141_P8_S44,Batch1,CD141
CD141_P8_S45,Batch1,CD141
CD141_P8_S46,Batch1,CD141
CD141_P8_S47,Batch1,CD141
CD141_P8_S48,Batch1,CD141
CD141_P9_S49,Batch1,CD141
CD141_P9_S50,Batch1,CD141
CD141_P9_S51,Batch1,CD141
CD141_P9_S52,Batch1,CD141
CD141_P9_S53,Batch1,CD141
CD141_P9_S54,Batch1,CD141
CD141_P9_S55,Batch1,CD141
CD141_P9_S56,Batch1,CD141
CD141_P9_S57,Batch1,CD141
CD141_P9_S58,Batch1,CD141
CD141_P9_S59,Batch1,CD141
CD141_P9_S60,Batch1,CD141
CD141_P9_S61,Batch1,CD141
CD141_P9_S62,Batch1,CD141
CD141_P9_S63,Batch1,CD141
CD141_P9_S64,Batch1,CD141
CD141_P9_S65,Batch1,CD141
CD141_P9_S66,Batch1,CD141
CD141_P9_S67,Batch1,CD141
CD141_P9_S68,Batch1,CD141
CD141_P9_S69,Batch1,CD141
CD141_P9_S70,Batch1,CD141
CD141_P9_S71,Batch1,CD141
CD141_P9_S72,Batch1,CD141
pDC_P10_S73,Batch1,pDC
pDC_P10_S74,Batch1,pDC
pDC_P10_S75,Batch1,pDC
pDC_P10_S76,Batch1,pDC
pDC_P10_S77,Batch1,pDC
pDC_P10_S78,Batch1,pDC
pDC_P10_S79,Batch1,pDC
pDC_P10_S80,Batch1,pDC
pDC_P10_S81,Batch1,pDC
pDC_P10_S82,Batch1,pDC
pDC_P10_S83,Batch1,pDC
pDC_P10_S84,Batch1,pDC
pDC_P10_S85,Batch1,pDC
pDC_P10_S86,Batch1,pDC
pDC_P10_S87,Batch1,pDC
pDC_P10_S88,Batch1,pDC
pDC_P10_S89,Batch1,pDC
pDC_P10_S90,Batch1,pDC
pDC_P10_S91,Batch1,pDC
pDC_P10_S92,Batch1,pDC
pDC_P10_S93,Batch1,pDC
pDC_P10_S94,Batch1,pDC
pDC_P10_S95,Batch1,pDC
pDC_P10_S96,Batch1,pDC
pDC_P7_S10,Batch1,pDC
pDC_P7_S11,Batch1,pDC
pDC_P7_S12,Batch1,pDC
pDC_P7_S13,Batch1,pDC
pDC_P7_S14,Batch1,pDC
pDC_P7_S15,Batch1,pDC
pDC_P7_S16,Batch1,pDC
pDC_P7_S17,Batch1,pDC
pDC_P7_S18,Batch1,pDC
pDC_P7_S19,Batch1,pDC
pDC_P7_S1,Batch1,pDC
pDC_P7_S20,Batch1,pDC
pDC_P7_S21,Batch1,pDC
pDC_P7_S22,Batch1,pDC
pDC_P7_S23,Batch1,pDC
pDC_P7_S24,Batch1,pDC
pDC_P7_S2,Batch1,pDC
pDC_P7_S3,Batch1,pDC
pDC_P7_S4,Batch1,pDC
pDC_P7_S5,Batch1,pDC
pDC_P7_S6,Batch1,pDC
pDC_P7_S7,Batch1,pDC
pDC_P7_S8,Batch1,pDC
pDC_P7_S9,Batch1,pDC
pDC_P8_S25,Batch1,pDC
pDC_P8_S26,Batch1,pDC
pDC_P8_S27,Batch1,pDC
pDC_P8_S28,Batch1,pDC
pDC_P8_S29,Batch1,pDC
pDC_P8_S30,Batch1,pDC
pDC_P8_S31,Batch1,pDC
pDC_P8_S32,Batch1,pDC
pDC_P8_S33,Batch1,pDC
pDC_P8_S34,Batch1,pDC
pDC_P8_S35,Batch1,pDC
pDC_P8_S36,Batch1,pDC
pDC_P8_S37,Batch1,pDC
pDC_P8_S38,Batch1,pDC
pDC_P8_S39,Batch1,pDC
pDC_P8_S40,Batch1,pDC
pDC_P8_S41,Batch1,pDC
